Totaal;dinsdag;2013;Noord-Holland;1474;53,7
Totaal;dinsdag;2014;Noord-Holland;1456;57,8
Totaal;dinsdag;2010;Zuid-Holland;1377;53,6
Totaal;dinsdag;2011;Zuid-Holland;1364;51,1
Totaal;dinsdag;2012;Zuid-Holland;1314;53,7
Totaal;dinsdag;2013;Zuid-Holland;1371;53,6
Totaal;dinsdag;2014;Zuid-Holland;1299;50,7
Totaal;dinsdag;2010;Zeeland;1751;50,6
Totaal;dinsdag;2011;Zeeland;1657;46,7
Totaal;dinsdag;2012;Zeeland;1578;47,9
Totaal;dinsdag;2013;Zeeland;1863;53,1
Totaal;dinsdag;2014;Zeeland;1554;51,8
Totaal;dinsdag;2010;Noord-Brabant;1521;50,6
Totaal;dinsdag;2011;Noord-Brabant;1570;50,7
Totaal;dinsdag;2012;Noord-Brabant;1428;49,2
Totaal;dinsdag;2013;Noord-Brabant;1678;56,9
Totaal;dinsdag;2014;Noord-Brabant;1553;48,8
Totaal;dinsdag;2010;Limburg;1400;51
Totaal;dinsdag;2011;Limburg;1306;45,5
Totaal;dinsdag;2012;Limburg;1185;43,2
Totaal;dinsdag;2013;Limburg;1114;47,2
Totaal;dinsdag;2014;Limburg;1356;44,6
Totaal;woensdag;2010;Nederland;1528;53,2
Totaal;woensdag;2011;Nederland;1522;52,5
Totaal;woensdag;2012;Nederland;1488;51
Totaal;woensdag;2013;Nederland;1488;52,6
Totaal;woensdag;2014;Nederland;1564;54,2
Totaal;woensdag;2010;Groningen;1663;56
Totaal;woensdag;2011;Groningen;1765;54,1
Totaal;woensdag;2012;Groningen;1704;53,2
Totaal;woensdag;2013;Groningen;1458;48,2
Totaal;woensdag;2014;Groningen;1496;46,9
Totaal;woensdag;2010;Friesland;1654;51
Totaal;woensdag;2011;Friesland;1376;43,9
Totaal;woensdag;2012;Friesland;1717;53,1
Totaal;woensdag;2013;Friesland;1824;54
Totaal;woensdag;2014;Friesland;1573;48
Totaal;woensdag;2010;Drenthe;1760;50,2
Totaal;woensdag;2011;Drenthe;1589;44,3
Totaal;woensdag;2012;Drenthe;2129;52,7
Totaal;woensdag;2013;Drenthe;1938;56,9
Totaal;woensdag;2014;Drenthe;1951;55,7
Totaal;woensdag;2010;Overijssel;1466;48,4
Totaal;woensdag;2011;Overijssel;1718;49,5
Totaal;woensdag;2012;Overijssel;1429;50,7
Totaal;woensdag;2013;Overijssel;1509;49,5
Totaal;woensdag;2014;Overijssel;1382;45,4
Totaal;woensdag;2010;Flevoland;1718;56
Totaal;woensdag;2011;Flevoland;2059;55,2
Totaal;woensdag;2012;Flevoland;1775;53,2
Totaal;woensdag;2013;Flevoland;1771;51,7
Totaal;woensdag;2014;Flevoland;1734;54,4
Totaal;woensdag;2010;Gelderland;1735;54,5
